PC(HEX)	Instruction(HEX)  R and EA(HEX)   Contents of R(HEX) and EA(HEX) BE    Contents of R(HEX) and EA(HEX) AE
C	640		R5 0			0 21E					5 640
D	20D		R5 0			5 21E					5 20D
E	390		R4 1A			0 5					1 390
F	F30		R5 1E			5 1					5 F30
11	20A		R5 1E			5 1					5 20A
12	52E		R5 1B			5 5					12 52E
1	21E		R5 0			12 21E					12 21E
2	319		R5 1F			12 12					5 319
3	299		R4 1B			1 5					1 299
4	119		R5 1C			5 1					4 119
5	F30		R5 1D			4 FFF					4 F30
7	195		R4 1D			1 FFF					2 195
8	115		R5 1C			4 1					3 115
9	F30		R5 1D			3 FFF					3 F30
B	43B		R5 1D			3 FFF					3 43B
7	195		R4 6			2 195					3 195
8	115		R5 1C			3 1					2 115
9	F30		R5 1D			2 FFF					2 F30
B	43B		R5 1D			2 FFF					2 43B
7	195		R4 6			3 195					4 195
8	115		R5 1C			2 1					1 115
9	F30		R5 1D			1 FFF					1 F30
B	43B		R5 1D			1 FFF					1 43B
7	195		R4 6			4 195					5 195
8	115		R5 1C			1 1					0 115
9	F30		R5 1D			0 FFF					0 F30
A	C15		R5 1D			0 FFF					0 C15
13	308		R5 12			0 308					5 308
14	109		R5 1B			5 5					4 109
15	F40		R5 1D			4 FFF					4 F40
16	43A		R5 1D			4 FFF					4 43A
11	20A		R5 10			4 20A					4 20A
12	52E		R5 1B			4 4					12 52E
1	21E		R5 0			12 21E					12 21E
2	319		R5 1F			12 12					4 319
3	299		R4 1B			5 4					5 299
4	119		R5 1C			4 5					3 119
5	F30		R5 1D			3 FFF					3 F30
7	195		R4 1D			5 FFF					A 195
8	115		R5 1C			3 5					2 115
9	F30		R5 1D			2 FFF					2 F30
B	43B		R5 1D			2 FFF					2 43B
7	195		R4 6			A 195					F 195
8	115		R5 1C			2 5					1 115
9	F30		R5 1D			1 FFF					1 F30
B	43B		R5 1D			1 FFF					1 43B
7	195		R4 6			F 195					14 195
8	115		R5 1C			1 5					0 115
9	F30		R5 1D			0 FFF					0 F30
A	C15		R5 1D			0 FFF					0 C15
13	308		R5 12			0 308					4 308
14	109		R5 1B			4 4					3 109
15	F40		R5 1D			3 FFF					3 F40
16	43A		R5 1D			3 FFF					3 43A
11	20A		R5 10			3 20A					3 20A
12	52E		R5 1B			3 3					12 52E
1	21E		R5 0			12 21E					12 21E
2	319		R5 1F			12 12					3 319
3	299		R4 1B			14 3					14 299
4	119		R5 1C			3 14					2 119
5	F30		R5 1D			2 FFF					2 F30
7	195		R4 1D			14 FFF					28 195
8	115		R5 1C			2 14					1 115
9	F30		R5 1D			1 FFF					1 F30
B	43B		R5 1D			1 FFF					1 43B
7	195		R4 6			28 195					3C 195
8	115		R5 1C			1 14					0 115
9	F30		R5 1D			0 FFF					0 F30
A	C15		R5 1D			0 FFF					0 C15
13	308		R5 12			0 308					3 308
14	109		R5 1B			3 3					2 109
15	F40		R5 1D			2 FFF					2 F40
16	43A		R5 1D			2 FFF					2 43A
11	20A		R5 10			2 20A					2 20A
12	52E		R5 1B			2 2					12 52E
1	21E		R5 0			12 21E					12 21E
2	319		R5 1F			12 12					2 319
3	299		R4 1B			3C 2					3C 299
4	119		R5 1C			2 3C					1 119
5	F30		R5 1D			1 FFF					1 F30
7	195		R4 1D			3C FFF					78 195
8	115		R5 1C			1 3C					0 115
9	F30		R5 1D			0 FFF					0 F30
A	C15		R5 1D			0 FFF					0 C15
13	308		R5 12			0 308					2 308
14	109		R5 1B			2 2					1 109
15	F40		R5 1D			1 FFF					1 F40
16	43A		R5 1D			1 FFF					1 43A
11	20A		R5 10			1 20A					1 20A
12	52E		R5 1B			1 1					12 52E
1	21E		R5 0			12 21E					12 21E
2	319		R5 1F			12 12					1 319
3	299		R4 1B			78 1					78 299
4	119		R5 1C			1 78					0 119
5	F30		R5 1D			0 FFF					0 F30
6	C19		R5 1D			0 FFF					0 C19
13	308		R5 12			0 308					1 308
14	109		R5 1B			1 1					0 109
15	F40		R5 1D			0 FFF					0 F40
17	303		R5 1D			0 FFF					5 303
18	620		R5 1A			5 5					5 620
19	6A0		R4 1A			78 5					78 6A0
1A	610		R5 1A			5 5							5 610
